192,273
189,278
185,281
182,285
185,285
189,285
193,281
194,275
197,277
200,283
203,287
205,287
208,285
209,282
213,277
216,277
220,279
225,279
228,277
233,277
236,279
240,283
245,283
248,288
248,293
248,299
246,304
248,308
252,308
254,305
255,308
256,315
246,323
247,325
251,325
257,324
260,325
261,329
263,337
260,341
260,345
255,349
245,349
240,349
240,353
238,356
234,359
229,359
222,354
226,359
228,363
224,363
217,364
214,367
217,371
218,373
218,379
218,385
220,391
222,396
218,399
219,402
222,407
213,406
215,413
216,423
216,432
214,435
210,441
204,451
200,457
195,464
192,468
188,471
188,477
188,483
186,481
181,481
180,481
178,478
175,475
170,476
164,479
158,480
162,477
157,476
152,478
148,475
140,473
137,477
141,481
134,485
129,485
126,481
122,481
119,483
118,488
112,489
110,490
110,487
108,483
104,481
102,481
102,486
102,492
98,495
90,499
89,496
86,493
83,495
82,500
78,497
70,495
65,494
62,495
54,499
56,495
56,492
50,492
46,492
41,492
36,492
38,489
41,489
48,487
51,483
54,481
52,479
44,479
32,479
25,481
26,477
36,476
38,471
42,475
53,471
53,469
28,470
24,470
22,467
20,463
23,457
27,460
26,451
30,453
36,453
40,453
46,451
50,447
44,443
40,449
34,448
30,443
24,439
22,435
28,438
29,435
31,432
35,433
41,434
45,437
50,439
54,442
55,442
52,435
50,433
48,429
51,427
54,427
58,427
62,426
64,423
66,422
70,422
73,423
76,425
80,427
86,427
88,429
93,429
97,429
100,429
103,428
103,427
101,427
96,427
94,424
98,416
100,413
94,417
90,419
84,421
82,424
77,423
80,420
78,420
73,419
72,418
71,415
64,416
54,419
64,413
70,411
74,411
78,405
82,403
78,400
86,395
88,389
93,391
98,391
102,389
104,389
101,386
105,381
96,381
92,381
89,381
83,381
78,379
82,372
81,369
78,367
75,365
68,361
63,364
58,364
58,361
55,355
54,352
57,349
62,349
66,351
68,347
70,344
72,341
75,341
82,343
86,343
89,343
92,340
92,335
88,333
83,333
75,333
82,331
85,327
82,325
82,319
82,315
81,312
78,314
73,315
79,306
78,303
84,304
89,305
96,305
102,305
110,305
110,310
111,315
110,321
112,324
116,323
116,317
118,316
121,315
124,315
129,319
132,323
135,326
138,327
141,325
140,321
140,319
136,313
142,313
146,314
148,314
154,308
154,308
158,307
160,306
162,302
157,301
151,301
146,301
146,299
144,299
140,296
138,295
136,295
136,290
142,285
146,290
148,291
150,287
147,285
151,285
154,285
159,285
154,279
160,275
152,273
156,268
162,267
167,267
174,267
180,267
182,272
189,272
192,277
